,movieId,title,genres,userId,tag
593,315,"Specialist, The (1994)",Action|Drama|Thriller,,
600,319,Shallow Grave (1994),Comedy|Drama|Thriller,,
601,320,Suture (1993),Film-Noir|Thriller,,
602,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,,
603,322,Swimming with Sharks (1995),Comedy|Drama,,
604,324,"Sum of Us, The (1994)",Comedy|Drama,,
605,325,National Lampoon's Senior Trip (1995),Comedy,,
607,327,Tank Girl (1995),Action|Comedy|Sci-Fi,,
608,328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,,
610,330,Tales from the Hood (1995),Action|Crime|Horror,,
611,331,Tom & Viv (1994),Drama,,
612,332,Village of the Damned (1995),Horror|Sci-Fi,,
613,333,Tommy Boy (1995),Comedy,,
614,334,Vanya on 42nd Street (1994),Drama,,
615,335,Underneath (1995),Mystery|Thriller,,
616,336,"Walking Dead, The (1995)",Drama|War,,
620,340,"War, The (1994)",Adventure|Drama|War,,
621,341,Double Happiness (1994),Drama,,
624,343,"Baby-Sitters Club, The (1995)",Children,,
625,344,Ace Ventura: Pet Detective (1994),Comedy,,
629,346,Backbeat (1993),Drama|Musical,,
630,347,Bitter Moon (1992),Drama|Film-Noir|Romance,,
631,348,Bullets Over Broadway (1994),Comedy,,
635,352,Crooklyn (1994),Comedy|Drama,,
636,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,,
637,354,Cobb (1994),Drama,,
638,355,"Flintstones, The (1994)",Children|Comedy|Fantasy,,
649,358,Higher Learning (1995),Drama,,
650,359,I Like It Like That (1994),Comedy|Drama|Romance,,
651,360,I Love Trouble (1994),Action|Comedy,,
653,362,"Jungle Book, The (1994)",Adventure|Children|Romance,,
661,365,Little Buddha (1993),Drama,,
662,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,,
663,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,,
664,368,Maverick (1994),Adventure|Comedy|Western,,
665,369,Mrs. Parker and the Vicious Circle (1994),Drama,,
666,370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,,
668,372,Reality Bites (1994),Comedy|Drama|Romance,,
669,373,Red Rock West (1992),Thriller,,
670,374,Richie Rich (1994),Children|Comedy,,
671,376,"River Wild, The (1994)",Action|Thriller,,
673,378,Speechless (1994),Comedy|Romance,,
674,379,Timecop (1994),Action|Sci-Fi|Thriller,,
677,382,Wolf (1994),Drama|Horror|Romance|Thriller,,
678,383,Wyatt Earp (1994),Western,,
679,384,Bad Company (1995),Action|Crime|Drama,,
680,385,"Man of No Importance, A (1994)",Drama,,
681,386,S.F.W. (1994),Drama,,
682,387,"Low Down Dirty Shame, A (1994)",Action|Comedy,,
683,388,Boys Life (1995),Drama,,
684,389,"Colonel Chabert, Le (1994)",Drama|Romance|War,,
685,390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,,
686,391,Jason's Lyric (1994),Crime|Drama,,
687,393,Street Fighter (1994),Action|Adventure|Fantasy,,
688,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,,
689,406,Federal Hill (1994),Drama,,
690,407,In the Mouth of Madness (1995),Horror|Thriller,,
691,408,8 Seconds (1994),Drama,,
692,409,Above the Rim (1994),Crime|Drama,,
701,414,"Air Up There, The (1994)",Comedy,,
702,415,Another Stakeout (1993),Comedy|Thriller,,
703,416,Bad Girls (1994),Western,,
704,417,Barcelona (1994),Comedy|Romance,,
705,418,Being Human (1993),Drama,,
706,419,"Beverly Hillbillies, The (1993)",Comedy,,
707,420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,,
709,422,Blink (1994),Thriller,,
710,423,Blown Away (1994),Action|Thriller,,
711,424,Blue Chips (1994),Drama,,
714,426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,,
715,427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,,
716,428,"Bronx Tale, A (1993)",Drama,,
717,429,Cabin Boy (1994),Comedy,,
718,430,Calendar Girl (1993),Comedy|Drama,,
722,432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,,
723,433,Clean Slate (1994),Comedy,,
724,434,Cliffhanger (1993),Action|Adventure|Thriller,,
725,435,Coneheads (1993),Comedy|Sci-Fi,,
726,436,Color of Night (1994),Drama|Thriller,,
727,437,Cops and Robbersons (1994),Comedy,,
728,438,"Cowboy Way, The (1994)",Action|Comedy|Drama,,
730,441,Dazed and Confused (1993),Comedy,,
731,442,Demolition Man (1993),Action|Adventure|Sci-Fi,,
732,444,Even Cowgirls Get the Blues (1993),Comedy|Romance,,
733,445,Fatal Instinct (1993),Comedy,,
734,446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,,
735,448,Fearless (1993),Drama,,
736,449,Fear of a Black Hat (1994),Comedy,,
737,450,With Honors (1994),Comedy|Drama,,
738,451,Flesh and Bone (1993),Drama|Mystery|Romance,,
739,452,Widows' Peak (1994),Drama,,
740,453,For Love or Money (1993),Comedy|Romance,,
742,455,Free Willy (1993),Adventure|Children|Drama,,
743,456,Fresh (1994),Crime|Drama|Thriller,,
745,458,Geronimo: An American Legend (1993),Drama|Western,,
746,459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,,
747,460,Getting Even with Dad (1994),Comedy,,
748,461,Go Fish (1994),Drama|Romance,,
749,464,Hard Target (1993),Action|Adventure|Crime|Thriller,,
750,466,Hot Shots! Part Deux (1993),Action|Comedy|War,,
751,467,Live Nude Girls (1995),Comedy,,
752,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,,
753,469,"House of the Spirits, The (1993)",Drama|Romance,,
754,470,House Party 3 (1994),Comedy,,
756,472,I'll Do Anything (1994),Comedy|Drama,,
757,473,In the Army Now (1994),Comedy|War,,
760,476,"Inkwell, The (1994)",Comedy|Drama,,
762,478,Jimmy Hollywood (1994),Comedy|Crime|Drama,,
763,479,Judgment Night (1993),Action|Crime|Thriller,,
765,481,Kalifornia (1993),Drama|Thriller,,
766,482,Killing Zoe (1994),Crime|Drama|Thriller,,
767,484,Lassie (1994),Adventure|Children,,
768,485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,,
769,486,Life with Mikey (1993),Comedy,,
770,487,Lightning Jack (1994),Comedy|Western,,
773,489,Made in America (1993),Comedy,,
774,490,Malice (1993),Thriller,,
775,491,"Man Without a Face, The (1993)",Drama,,
776,492,Manhattan Murder Mystery (1993),Comedy|Mystery,,
777,493,Menace II Society (1993),Action|Crime|Drama,,
778,494,Executive Decision (1996),Action|Adventure|Thriller,,
779,495,In the Realm of the Senses (Ai no corrida) (1976),Drama,,
780,496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller,,
782,499,Mr. Wonderful (1993),Comedy|Romance,,
786,501,Naked (1993),Drama,,
787,502,"Next Karate Kid, The (1994)",Action|Children|Romance,,
788,504,No Escape (1994),Action|Drama|Sci-Fi,,
789,505,North (1994),Comedy,,
790,506,Orlando (1992),Drama|Fantasy|Romance,,
791,507,"Perfect World, A (1993)",Crime|Drama|Thriller,,
793,509,"Piano, The (1993)",Drama|Romance,,
794,510,Poetic Justice (1993),Drama,,
795,511,"Program, The (1993)",Action|Drama,,
796,512,"Puppet Masters, The (1994)",Horror|Sci-Fi,,
799,514,"Ref, The (1994)",Comedy,,
803,517,Rising Sun (1993),Action|Drama|Mystery,,
804,518,"Road to Wellville, The (1994)",Comedy,,
805,519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,,
806,520,Robin Hood: Men in Tights (1993),Comedy,,
807,521,Romeo Is Bleeding (1993),Crime|Thriller,,
811,523,Ruby in Paradise (1993),Drama,,
813,526,"Savage Nights (Nuits fauves, Les) (1992)",Drama,,
821,528,"Scout, The (1994)",Comedy|Drama,,
824,532,Serial Mom (1994),Comedy|Crime|Horror,,
825,533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,,
828,536,"Simple Twist of Fate, A (1994)",Drama,,
829,537,Sirens (1994),Drama,,
846,542,Son in Law (1993),Comedy|Drama|Romance,,
848,544,Striking Distance (1993),Action|Crime,,
849,546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,,
850,547,Surviving the Game (1994),Action|Adventure|Thriller,,
851,548,Terminal Velocity (1994),Action|Mystery|Thriller,,
852,549,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical,,
853,550,Threesome (1994),Comedy|Romance,,
857,553,Tombstone (1993),Action|Drama|Western,,
858,555,True Romance (1993),Crime|Thriller,,
860,558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy,,
862,563,Germinal (1993),Drama|Romance,,
863,564,Chasers (1994),Comedy,,
864,567,Kika (1993),Comedy|Drama,,
865,568,Bhaji on the Beach (1993),Comedy|Drama,,
866,569,Little Big League (1994),Comedy|Drama,,
867,573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,,
868,574,Spanking the Monkey (1994),Comedy|Drama,,
869,575,"Little Rascals, The (1994)",Children|Comedy,,
870,577,Andre (1994),Adventure|Children|Drama,,
871,579,"Escort, The (Scorta, La) (1993)",Crime|Thriller,,
872,580,Princess Caraboo (1994),Drama,,
873,581,"Celluloid Closet, The (1995)",Documentary,,
874,583,Dear Diary (Caro Diario) (1994),Comedy|Drama,,
875,585,"Brady Bunch Movie, The (1995)",Comedy,,
900,599,"Wild Bunch, The (1969)",Adventure|Western,,
901,600,Love and a .45 (1994),Action|Comedy|Crime,,
902,602,"Great Day in Harlem, A (1994)",Documentary,,
903,605,One Fine Day (1996),Drama|Romance,,
904,606,Candyman: Farewell to the Flesh (1995),Fantasy|Horror,,
910,609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children,,
911,610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,,
912,611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi,,
913,612,"Pallbearer, The (1996)",Comedy,,
914,613,Jane Eyre (1996),Drama|Romance,,
915,615,Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama,,
917,617,"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama,,
918,618,Two Much (1995),Comedy|Romance,,
919,619,Ed (1996),Comedy,,
920,626,"Thin Line Between Love and Hate, A (1996)",Comedy,,
921,627,"Last Supper, The (1995)",Drama|Thriller,,
928,631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,,
929,632,Land and Freedom (Tierra y libertad) (1995),Drama|War,,
930,633,Denise Calls Up (1995),Comedy,,
931,634,Theodore Rex (1995),Comedy,,
932,635,"Family Thing, A (1996)",Comedy|Drama,,
933,636,Frisk (1995),Drama,,
934,637,Sgt. Bilko (1996),Comedy,,
936,639,Girl 6 (1996),Comedy|Drama,,
937,640,Diabolique (1996),Drama|Thriller,,
938,645,Nelly & Monsieur Arnaud (1995),Drama,,
941,649,Cold Fever (Á köldum klaka) (1995),Comedy|Drama,,
942,650,Moll Flanders (1996),Drama,,
943,653,Dragonheart (1996),Action|Adventure|Fantasy,,
944,656,Eddie (1996),Comedy,,
945,661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,,
946,662,Fear (1996),Thriller,,
947,663,Kids in the Hall: Brain Candy (1996),Comedy,,
948,665,Underground (1995),Comedy|Drama|War,,
949,667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action,,
954,674,Barbarella (1968),Adventure|Comedy|Sci-Fi,,
955,678,Some Folks Call It a Sling Blade (1993),Drama|Thriller,,
956,679,"Run of the Country, The (1995)",Drama,,
957,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller,,
958,685,It's My Party (1996),Drama,,
959,688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,,
960,691,Mrs. Winterbourne (1996),Comedy|Romance,,
961,692,Solo (1996),Action|Sci-Fi|Thriller,,
962,694,"Substitute, The (1996)",Action|Crime|Drama,,
963,695,True Crime (1996),Mystery|Thriller,,
964,697,Feeling Minnesota (1996),Drama|Romance,,
965,698,Delta of Venus (1995),Drama,,
966,700,Angus (1995),Comedy,,
967,703,Boys (1996),Drama,,
968,704,"Quest, The (1996)",Action|Adventure,,
969,706,Sunset Park (1996),Drama,,
972,709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical,,
973,710,Celtic Pride (1996),Comedy,,
974,711,Flipper (1996),Adventure|Children,,
975,714,Dead Man (1995),Drama|Mystery|Western,,
976,715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama|Romance,,
977,718,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi,,
978,719,Multiplicity (1996),Comedy,,
980,722,"Haunted World of Edward D. Wood Jr., The (1996)",Documentary,,
981,724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller,,
982,725,"Great White Hype, The (1996)",Comedy,,
983,726,Last Dance (1996),Drama,,
985,731,Heaven's Prisoners (1996),Crime|Thriller,,
989,735,Cemetery Man (Dellamorte Dellamore) (1994),Horror,,
991,737,Barb Wire (1996),Action|Sci-Fi,,
992,741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi,,
993,742,Thinner (1996),Horror|Thriller,,
994,743,Spy Hard (1996),Comedy,,
996,747,"Stupids, The (1996)",Comedy,,
1008,757,Ashes of Time (Dung che sai duk) (1994),Drama,,
1009,759,Maya Lin: A Strong Clear Vision (1994),Documentary,,
1010,760,Stalingrad (1993),Drama|War,,
1011,761,"Phantom, The (1996)",Action|Adventure,,
1012,762,Striptease (1996),Comedy|Crime,,
1013,764,Heavy (1995),Drama|Romance,,
1014,765,Jack (1996),Comedy|Drama,,
1015,766,I Shot Andy Warhol (1996),Drama,,
1016,773,Touki Bouki (1973),Drama,,
1017,775,Spirits of the Dead (1968),Horror|Mystery,,
1022,779,'Til There Was You (1997),Drama|Romance,,
1024,781,Stealing Beauty (1996),Drama,,
1025,782,"Fan, The (1996)",Drama|Thriller,,
1026,783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,,
1027,784,"Cable Guy, The (1996)",Comedy|Thriller,,
1028,785,Kingpin (1996),Comedy,,
1029,786,Eraser (1996),Action|Drama|Thriller,,
1030,788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,,
1031,790,"Unforgettable Summer, An (Un été inoubliable) (1994)",Drama,,
1032,791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary,,
1033,795,Somebody to Love (1994),Drama,,
1034,798,Daylight (1996),Action|Adventure|Drama|Thriller,,
1035,799,"Frighteners, The (1996)",Comedy|Horror|Thriller,,
1037,801,Harriet the Spy (1996),Children|Comedy,,
1038,802,Phenomenon (1996),Drama|Romance,,
1039,803,Walking and Talking (1996),Comedy|Drama|Romance,,
1040,804,She's the One (1996),Comedy|Romance,,
1042,806,American Buffalo (1996),Crime|Drama,,
1043,808,Alaska (1996),Adventure|Children,,
1044,809,Fled (1996),Action|Adventure,,
1045,810,Kazaam (1996),Children|Comedy|Fantasy,,
1046,813,Larger Than Life (1996),Comedy,,
1048,823,"Collector, The (La collectionneuse) (1967)",Drama,,
1049,824,Kaspar Hauser (1993),Drama|Mystery,,
1050,828,"Adventures of Pinocchio, The (1996)",Adventure|Children,,
1051,829,Joe's Apartment (1996),Comedy|Fantasy|Musical,,
1057,833,High School High (1996),Comedy,,
1058,835,Foxfire (1996),Drama,,
1060,837,Matilda (1996),Children|Comedy|Fantasy,,
1062,839,"Crow: City of Angels, The (1996)",Action|Thriller,,
1063,840,House Arrest (1996),Children|Comedy,,
1064,841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",Horror,,
1065,842,Tales from the Crypt Presents: Bordello of Blood (1996),Comedy|Horror,,
1066,848,"Spitfire Grill, The (1996)",Drama,,
1067,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,,
1068,851,Basquiat (1996),Drama,,
1071,861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller,,
1072,866,Bound (1996),Crime|Drama|Romance|Thriller,,
1073,867,Carpool (1996),Comedy|Crime,,
1074,869,Kansas City (1996),Crime|Drama|Musical|Thriller,,
1075,870,Gone Fishin' (1997),Comedy,,
1076,875,Nothing to Lose (1994),Action|Crime|Drama,,
1077,876,Supercop 2 (Project S) (Chao ji ji hua) (1993),Action|Comedy|Crime|Thriller,,
1078,879,"Relic, The (1997)",Horror|Thriller,,
1079,880,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller,,
1080,881,First Kid (1996),Children|Comedy,,
1081,882,"Trigger Effect, The (1996)",Drama|Thriller,,
